"INDICATOR","ENHIS_17"

"ENHIS_17","Prevalence of overweight (including obesity) among 13-year-olds in countries of the WHO European Region"

"EXTERNID","ID in the originating data source"

"DATA_SOURCE","Data source"
"ENHIS","Environment and Health"

"UNIT_TYPE","Unit"
"PERCENT","%"

"DATA_TYPE_REPRESENTATION","Data type representation"
"RATIO","Ratio"

"DATA_SET","Data set"
"ENHIS","Environment and Health Information System (ENHIS)"

"SEX","Sex"
"FEMALE","Female"
"MALE","Male"
"ALL","All"

"COUNTRY","SEX","YEAR","VALUE"
"ARM","MALE","2009","15.4613466334165"
"ARM","FEMALE","2009","9.21052631578947"
"AUT","FEMALE","2001","11"
"AUT","MALE","2001","15"
"AUT","FEMALE","2005","7"
"AUT","MALE","2005","14"
"AUT","MALE","2009","17.2056921086675"
"AUT","FEMALE","2009","11.4856429463171"
"BE-VLG","FEMALE","2001","8.1"
"BE-VLG","MALE","2001","11.7"
"BE-VLG","FEMALE","2005","10"
"BE-VLG","MALE","2005","10"
"BE-VLG","MALE","2009","10.0649350649351"
"BE-VLG","FEMALE","2009","11.3233287858117"
"BE-WAL","FEMALE","2001","10.8"
"BE-WAL","MALE","2001","13.1"
"BE-WAL","FEMALE","2005","10"
"BE-WAL","MALE","2005","14"
"BE-WAL","MALE","2009","14.3434343434343"
"BE-WAL","FEMALE","2009","8.04347826086956"
"BGR","FEMALE","2005","7"
"BGR","MALE","2005","18"
"HRV","FEMALE","2001","6.1"
"HRV","MALE","2001","13"
"HRV","FEMALE","2005","10"
"HRV","MALE","2005","17"
"HRV","MALE","2009","21.9288174512055"
"HRV","FEMALE","2009","11.7053481331988"
"CZE","FEMALE","2001","7.1"
"CZE","MALE","2001","11.7"
"CZE","FEMALE","2005","12"
"CZE","MALE","2005","16"
"CZE","MALE","2009","19.5685670261941"
"CZE","FEMALE","2009","7.04041720990874"
"DNK","FEMALE","2001","9.2"
"DNK","MALE","2001","8.4"
"DNK","FEMALE","2005","7"
"DNK","MALE","2005","9"
"DNK","MALE","2009","9.94152046783626"
