"INDICATOR","ENHIS_17"

"ENHIS_17","Prevalence of overweight (including obesity) among 13-year-olds in countries of the WHO European Region"

"EXTERNID","ID in the originating data source"

"DATA_SOURCE","Data source"
"ENHIS","Environment and Health"

"UNIT_TYPE","Unit"
"PERCENT","%"

"DATA_TYPE_REPRESENTATION","Data type representation"
"RATIO","Ratio"

"DATA_SET","Data set"
"ENHIS","Environment and Health Information System (ENHIS)"

"SEX","Sex"
"FEMALE","Female"
"MALE","Male"
"ALL","All"

"COUNTRY","SEX","YEAR","VALUE"
"DNK","FEMALE","2009","7.84982935153584"
"EST","FEMALE","2001","4.4"
"EST","MALE","2001","10.1"
"EST","FEMALE","2005","7"
"EST","MALE","2005","14"
"EST","MALE","2009","17.7935943060498"
"EST","FEMALE","2009","12.8644939965695"
"FIN","FEMALE","2001","11"
"FIN","MALE","2001","15.9"
"FIN","FEMALE","2005","11"
"FIN","MALE","2005","17"
"FIN","MALE","2009","18.5410334346505"
"FIN","FEMALE","2009","14.1739980449658"
"FRA","FEMALE","2001","8.7"
"FRA","MALE","2001","13.8"
"FRA","FEMALE","2005","8"
"FRA","MALE","2005","12"
"FRA","MALE","2009","12.3940677966102"
"FRA","FEMALE","2009","9.37866354044549"
"DEU","FEMALE","2001","8.3"
"DEU","MALE","2001","14.5"
"DEU","FEMALE","2005","8"
"DEU","MALE","2005","14"
"DEU","MALE","2009","15.4074074074074"
"DEU","FEMALE","2009","13.2132132132132"
"GRC","FEMALE","2001","12.1"
"GRC","MALE","2001","20.3"
"GRC","FEMALE","2005","13"
"GRC","MALE","2005","27"
"GRC","MALE","2009","24.9666221628838"
"GRC","FEMALE","2009","15.1930261519303"
"GRL","MALE","2009","9.4017094017094"
"GRL","FEMALE","2009","18.8524590163934"
"HUN","FEMALE","2001","10.9"
"HUN","MALE","2001","15.5"
"HUN","FEMALE","2005","11"
"HUN","MALE","2005","20"
"HUN","MALE","2009","19.0265486725664"
"HUN","FEMALE","2009","9.56873315363881"
"ISL","MALE","2009","16.3177339901478"
"ISL","FEMALE","2009","11.9293974437005"
"IRL","FEMALE","2001","10.5"
"IRL","MALE","2001","14.4"
"IRL","FEMALE","2005","14"
"IRL","MALE","2005","13"
"IRL","MALE","2009","12.7147766323024"
"IRL","FEMALE","2009","8.5"
"ISR","FEMALE","2001","9.5"
"ISR","MALE","2001","14.6"
"ITA","FEMALE","2001","12.4"
"ITA","MALE","2001","21"
"ITA","FEMALE","2005","11"
"ITA","MALE","2005","25"
"ITA","MALE","2009","20.2334630350195"
"ITA","FEMALE","2009","13.8069705093834"
"LVA","FEMALE","2001","3.6"
"LVA","MALE","2001","7.5"
"LVA","FEMALE","2005","5"
"LVA","MALE","2005","12"
"LVA","MALE","2009","13.8041733547352"
"LVA","FEMALE","2009","9.20060331825038"
"LTU","FEMALE","2001","3.7"
"LTU","MALE","2001","5.7"
"LTU","FEMALE","2005","4"
"LTU","MALE","2005","9"
"LTU","MALE","2009","12.5786163522013"
"LTU","FEMALE","2009","7.72946859903382"
"LUX","FEMALE","2005","10"
"LUX","MALE","2005","15"
"LUX","MALE","2009","17.0629370629371"
"LUX","FEMALE","2009","11.4597544338336"
"MKD","FEMALE","2001","6.8"
"MKD","MALE","2001","16.5"
"MKD","FEMALE","2005","10"
"MKD","MALE","2005","17"
"MKD","MALE","2009","18.7845303867403"
"MKD","FEMALE","2009","10.8892921960073"
"MLT","FEMALE","2001","23.5"
"MLT","MALE","2001","33.8"
"MLT","FEMALE","2005","31"
"MLT","MALE","2005","31"
"NLD","FEMALE","2001","4.5"
"NLD","MALE","2001","8.1"
"NLD","FEMALE","2005","8"
"NLD","MALE","2005","8"
"NLD","MALE","2009","9.4677355675569"
"NLD","FEMALE","2009","7.81153464642489"
"NOR","FEMALE","2001","7.9"
"NOR","MALE","2001","15.3"
"NOR","FEMALE","2005","9"
"NOR","MALE","2005","10"
"NOR","MALE","2009","12.810707456979"
"NOR","FEMALE","2009","8.59232175502742"
"POL","FEMALE","2001","4.3"
"POL","MALE","2001","11"
"POL","FEMALE","2005","8"
"POL","MALE","2005","14"
"POL","MALE","2009","21.0606060606061"
"POL","FEMALE","2009","12.7808988764045"
"PRT","FEMALE","2001","12.9"
"PRT","MALE","2001","20.4"
"PRT","FEMALE","2005","13"
"PRT","MALE","2005","18"
"PRT","MALE","2009","22.2222222222222"
"PRT","FEMALE","2009","12.6984126984127"
"ROU","FEMALE","2005","8"
"ROU","MALE","2005","15"
"ROU","MALE","2009","14.965034965035"
"ROU","FEMALE","2009","9.91535671100363"
"RUS","FEMALE","2001","3.7"
"RUS","MALE","2001","6.8"
"RUS","FEMALE","2005","7"
"RUS","MALE","2005","11"
"RUS","MALE","2009","13.9329805996473"
"RUS","FEMALE","2009","5.95903165735568"
"SVK","FEMALE","2005","6"
"SVK","MALE","2005","11"
"SVK","MALE","2009","19.9757869249395"
"SVK","FEMALE","2009","7.76053215077605"
"SVN","FEMALE","2001","12.4"
"SVN","MALE","2001","15.7"
"SVN","FEMALE","2005","10"
"SVN","MALE","2005","20"
"SVN","MALE","2009","20.2474690663667"
"SVN","FEMALE","2009","12.7118644067797"
"ESP","FEMALE","2001","11.7"
"ESP","MALE","2001","24.7"
"ESP","FEMALE","2005","12"
"ESP","MALE","2005","19"
"ESP","MALE","2009","20.7070707070707"
"ESP","FEMALE","2009","12.5592417061611"
"SWE","FEMALE","2001","8.5"
"SWE","MALE","2001","11.2"
"SWE","FEMALE","2005","9"
"SWE","MALE","2005","13"
"SWE","MALE","2009","13.4391534391534"
"SWE","FEMALE","2009","8.75621890547264"
"CHE","FEMALE","2001","6.2"
"CHE","MALE","2001","9.7"
"CHE","FEMALE","2005","5"
"CHE","MALE","2005","12"
"CHE","MALE","2009","11.8701964133219"
"CHE","FEMALE","2009","6.38297872340426"
"TUR","FEMALE","2005","7"
"TUR","MALE","2005","13"
"TUR","MALE","2009","17.7083333333333"
"TUR","FEMALE","2009","10.310421286031"
"UKR","FEMALE","2001","3.1"
"UKR","MALE","2001","5"
"UKR","FEMALE","2005","5"
"UKR","MALE","2005","9"
"UKR","MALE","2009","12.8361858190709"
"UKR","FEMALE","2009","6.71140939597315"
"GB-ENG","FEMALE","2001","16"
"GB-ENG","MALE","2001","17.8"
"GB-ENG","FEMALE","2005","14"
"GB-ENG","MALE","2005","14"
"GB-ENG","MALE","2009","9.0249566801755"
"GB-ENG","FEMALE","2009","13.6069877293936"
"GB-SCT","FEMALE","2001","13"
"GB-SCT","MALE","2001","16.8"
"GB-SCT","FEMALE","2005","15"
"GB-SCT","MALE","2005","16"
"GB-SCT","MALE","2009","16.1529299728319"
"GB-SCT","FEMALE","2009","6.09756097560976"
"GB-WLS","FEMALE","2001","16.8"
"GB-WLS","MALE","2001","22.2"
"GB-WLS","FEMALE","2005","17"
"GB-WLS","MALE","2005","18"
"GB-WLS","MALE","2009","18.7007874015748"
"GB-WLS","FEMALE","2009","13.9024390243902"

"Last update","2022.12.05 12:03:05 GMT"
"Description","Prevalence of overweight (including obesity) among 13-year-olds in countries of the WHO European Region"
"Reference link","https://dw.euro.who.int/api/v3/measures/ENHIS_17?lang=En"

"Copyright"
"© WHO Regional Office for Europe 2025. All rights reserved.","https://www.who.int/about/policies/publishing/copyright"
