"INDICATOR","ENHIS_18"

"ENHIS_18","Prevalence of overweight (including obesity) among 15-year-olds in countries of the WHO European Region"

"EXTERNID","ID in the originating data source"

"DATA_SOURCE","Data source"
"ENHIS","Environment and Health"

"UNIT_TYPE","Unit"
"PERCENT","%"

"DATA_TYPE_REPRESENTATION","Data type representation"
"RATIO","Ratio"

"DATA_SET","Data set"
"ENHIS","Environment and Health Information System (ENHIS)"

"SEX","Sex"
"FEMALE","Female"
"MALE","Male"
"ALL","All"

"COUNTRY","SEX","YEAR","VALUE"
"SVK","MALE","2009","15.3932584269663"
"SVK","FEMALE","2009","6.8771138669673"
"SVN","FEMALE","2001","7"
"SVN","MALE","2001","18.5"
"SVN","FEMALE","2005","10"
"SVN","MALE","2005","20"
"SVN","MALE","2009","22.9452054794521"
"SVN","FEMALE","2009","13.3489461358314"
"ESP","FEMALE","2001","10.7"
"ESP","MALE","2001","20.6"
"ESP","FEMALE","2005","11"
"ESP","MALE","2005","19"
"ESP","MALE","2009","18.9988623435722"
"ESP","FEMALE","2009","12.3028391167192"
"SWE","FEMALE","2001","7.1"
"SWE","MALE","2001","14.6"
"SWE","FEMALE","2005","9"
"SWE","MALE","2005","15"
"SWE","MALE","2009","16.6315789473684"
"SWE","FEMALE","2009","6.75381263616558"
"CHE","FEMALE","2001","6.7"
"CHE","MALE","2001","11.4"
"CHE","FEMALE","2005","7"
"CHE","MALE","2005","14"
"CHE","MALE","2009","14.0858208955224"
"CHE","FEMALE","2009","7.23809523809524"
"TUR","FEMALE","2005","5"
"TUR","MALE","2005","14"
"TUR","MALE","2009","16.9491525423729"
"TUR","FEMALE","2009","5.88928150765607"
"UKR","FEMALE","2001","4.6"
"UKR","MALE","2001","6.5"
"UKR","FEMALE","2005","5"
"UKR","MALE","2005","12"
"UKR","MALE","2009","13.5200974421437"
"UKR","FEMALE","2009","6.34755463059313"
"GB-ENG","FEMALE","2001","12.9"
"GB-ENG","MALE","2001","16.3"
"GB-ENG","FEMALE","2005","8"
"GB-ENG","MALE","2005","13"
"GB-ENG","MALE","2009","10.1376250032036"
"GB-ENG","FEMALE","2009","10.862296128471"
"GB-SCT","FEMALE","2001","10.4"
"GB-SCT","MALE","2001","14.3"
"GB-SCT","FEMALE","2005","12"
"GB-SCT","MALE","2005","14"
"GB-SCT","MALE","2009","15.5255077304315"
"GB-SCT","FEMALE","2009","11.1204475067822"
"GB-WLS","FEMALE","2001","17.4"
"GB-WLS","MALE","2001","22.2"
"GB-WLS","FEMALE","2005","18"
"GB-WLS","MALE","2005","21"
"GB-WLS","MALE","2009","22.4719101123595"
"GB-WLS","FEMALE","2009","14.7435897435897"

"Last update","2022.12.05 12:03:05 GMT"
"Description","Prevalence of overweight (including obesity) among 15-year-olds in countries of the WHO European Region"
"Reference link","https://dw.euro.who.int/api/v3/measures/ENHIS_18?lang=En"

"Copyright"
"© WHO Regional Office for Europe 2025. All rights reserved.","https://www.who.int/about/policies/publishing/copyright"
