"INDICATOR","ENHIS_16"

"ENHIS_16","Prevalence of overweight (including obesity) among 11-year-olds in countries of the WHO European Region"

"EXTERNID","ID in the originating data source"

"DATA_SOURCE","Data source"
"ENHIS","Environment and Health"

"UNIT_TYPE","Unit"
"PERCENT","%"

"DATA_TYPE_REPRESENTATION","Data type representation"
"RATIO","Ratio"

"DATA_SET","Data set"
"ENHIS","Environment and Health Information System (ENHIS)"

"SEX","Sex"
"FEMALE","Female"
"MALE","Male"
"ALL","All"

"COUNTRY","SEX","YEAR","VALUE"
"ARM","MALE","2009","17.1686746987952"
"ARM","FEMALE","2009","12.6582278481013"
"AUT","FEMALE","2005","9"
"AUT","MALE","2005","14"
"AUT","MALE","2009","15.2777777777778"
"AUT","FEMALE","2009","11.2443778110945"
"BE-VLG","FEMALE","2005","8"
"BE-VLG","MALE","2005","8"
"BE-VLG","MALE","2009","10.0443131462334"
"BE-VLG","FEMALE","2009","10.1010101010101"
"BE-WAL","FEMALE","2005","10"
"BE-WAL","MALE","2005","10"
"BE-WAL","MALE","2009","11.1111111111111"
"BE-WAL","FEMALE","2009","11.1650485436893"
"BGR","FEMALE","2005","10"
"BGR","MALE","2005","20"
"HRV","FEMALE","2005","14"
"HRV","MALE","2005","20"
"HRV","MALE","2009","20.7302709069494"
"HRV","FEMALE","2009","14.7982062780269"
"CZE","FEMALE","2005","18"
"CZE","MALE","2005","21"
"CZE","MALE","2009","20.6647398843931"
"CZE","FEMALE","2009","11.5727002967359"
"DNK","FEMALE","2005","11"
"DNK","MALE","2005","9"
"DNK","MALE","2009","10.82910321489"
"DNK","FEMALE","2009","8.9644513137558"
"EST","FEMALE","2005","9"
"EST","MALE","2005","13"
"EST","MALE","2009","18.7110187110187"
"EST","FEMALE","2009","13.1313131313131"
"FIN","FEMALE","2005","16"
"FIN","MALE","2005","20"
"FIN","MALE","2009","18.890977443609"
"FIN","FEMALE","2009","12.855910267472"
"FRA","FEMALE","2005","11"
"FRA","MALE","2005","10"
"FRA","MALE","2009","11.6571428571429"
"FRA","FEMALE","2009","7.66467065868263"
"DEU","FEMALE","2005","10"
"DEU","MALE","2005","13"
"DEU","MALE","2009","13.4831460674157"
"DEU","FEMALE","2009","9.52380952380952"
"GRC","FEMALE","2005","16"
"GRC","MALE","2005","21"
"GRC","MALE","2009","26.3448275862069"
"GRC","FEMALE","2009","17.9302045728039"
"GRL","MALE","2009","20.7207207207207"
"GRL","FEMALE","2009","14.2857142857143"
"HUN","FEMALE","2005","13"
"HUN","MALE","2005","21"
"HUN","MALE","2009","19.4078947368421"
"HUN","FEMALE","2009","13.0434782608696"
"ISL","MALE","2009","12.858141160028"
"ISL","FEMALE","2009","9.81549815498155"
"IRL","FEMALE","2005","13"
"IRL","MALE","2005","20"
"IRL","MALE","2009","25"
"IRL","FEMALE","2009","20.5128205128205"
"ITA","FEMALE","2005","15"
"ITA","MALE","2005","26"
"ITA","MALE","2009","21.7455621301775"
"ITA","FEMALE","2009","14.453781512605"
"LVA","FEMALE","2005","6"
"LVA","MALE","2005","10"
"LVA","MALE","2009","13.237639553429"
"LVA","FEMALE","2009","8.39160839160839"
"LTU","FEMALE","2005","6"
"LTU","MALE","2005","14"
"LTU","MALE","2009","16.4623467600701"
"LTU","FEMALE","2009","9.98248686514886"
"LUX","FEMALE","2005","11"
"LUX","MALE","2005","14"
"LUX","MALE","2009","11.0204081632653"
"LUX","FEMALE","2009","10.5150214592275"
"MKD","FEMALE","2005","13"
"MKD","MALE","2005","21"
"MKD","MALE","2009","20.8237986270023"
"MKD","FEMALE","2009","15.962441314554"
"MLT","FEMALE","2005","25"
"MLT","MALE","2005","30"
"NLD","FEMALE","2005","7"
"NLD","MALE","2005","5"
"NLD","MALE","2009","8.0281874834361"
"NLD","FEMALE","2009","8.75508867489211"
"NOR","FEMALE","2005","7"
"NOR","MALE","2005","10"
"NOR","MALE","2009","12.8824476650564"
"NOR","FEMALE","2009","8.81410256410256"
"POL","FEMALE","2005","10"
"POL","MALE","2005","17"
"POL","MALE","2009","24.3865030674847"
"POL","FEMALE","2009","17.4922600619195"
"PRT","FEMALE","2005","22"
"PRT","MALE","2005","25"
"PRT","MALE","2009","22.8733459357278"
"PRT","FEMALE","2009","19.9646643109541"
"ROU","FEMALE","2005","14"
"ROU","MALE","2005","19"
"ROU","MALE","2009","21.021897810219"
"ROU","FEMALE","2009","13.7462235649547"
"RUS","FEMALE","2005","10"
"RUS","MALE","2005","15"
"RUS","MALE","2009","20.7126948775056"
"RUS","FEMALE","2009","12.9689174705252"
"SVK","FEMALE","2005","8"
"SVK","MALE","2005","13"
"SVK","MALE","2009","16.994633273703"
"SVK","FEMALE","2009","10.6811145510836"
"SVN","FEMALE","2005","12"
"SVN","MALE","2005","20"
"SVN","MALE","2009","21.5130023640662"
"SVN","FEMALE","2009","16.1407766990291"
"ESP","FEMALE","2005","18"
"ESP","MALE","2005","21"
"ESP","MALE","2009","20.0674536256324"
"ESP","FEMALE","2009","16.4359861591695"
"SWE","FEMALE","2005","8"
"SWE","MALE","2005","9"
"SWE","MALE","2009","14.1486810551559"
"SWE","FEMALE","2009","10.4302477183833"
"CHE","FEMALE","2005","5"
"CHE","MALE","2005","6"
"CHE","MALE","2009","7.23763570566948"
"CHE","FEMALE","2009","5.40216086434574"
"TUR","FEMALE","2005","7"
"TUR","MALE","2005","14"
"TUR","MALE","2009","15.6438026474128"
"TUR","FEMALE","2009","10.6870229007634"
"UKR","FEMALE","2005","9"
"UKR","MALE","2005","11"
"UKR","MALE","2009","12.4724061810155"
"UKR","FEMALE","2009","9.03426791277258"
"GB-ENG","FEMALE","2005","10"
"GB-ENG","MALE","2005","13"
"GB-ENG","MALE","2009","12.9519809689171"
"GB-ENG","FEMALE","2009","13.8818866973437"
"GB-SCT","FEMALE","2005","15"
"GB-SCT","MALE","2005","22"
"GB-SCT","MALE","2009","15.1187158438189"
"GB-SCT","FEMALE","2009","16.0168297410482"
"GB-WLS","FEMALE","2005","21"
"GB-WLS","MALE","2005","19"
"GB-WLS","MALE","2009","20.2898550724638"
"GB-WLS","FEMALE","2009","16.5322580645161"

"Last update","2022.12.05 12:03:05 GMT"
"Description","Prevalence of overweight (including obesity) among 11-year-olds in countries of the WHO European Region"
"Reference link","https://dw.euro.who.int/api/v3/measures/ENHIS_16?lang=En"

"Copyright"
"© WHO Regional Office for Europe 2025. All rights reserved.","https://www.who.int/about/policies/publishing/copyright"
