COUNTRY,SEX,YEAR,ACTIVITY_VAL,AGE,OBESITY_VAL
UKR,FEMALE,2009,24.8,11,9.03426791277258
UKR,MALE,2005,33.0,11,11.0
UKR,FEMALE,2005,22.0,11,9.0
GB-ENG,MALE,2009,32.5,11,12.9519809689171
GB-ENG,FEMALE,2009,19.7,11,13.8818866973437
GB-ENG,MALE,2005,27.0,11,13.0
GB-ENG,FEMALE,2005,18.0,11,10.0
GB-SCT,MALE,2009,23.8,11,15.1187158438189
GB-SCT,FEMALE,2009,16.2,11,16.0168297410482
GB-SCT,MALE,2005,40.0,11,22.0
GB-SCT,FEMALE,2005,25.0,11,15.0
GB-WLS,MALE,2009,29.1,11,20.2898550724638
GB-WLS,FEMALE,2009,19.0,11,16.5322580645161
GB-WLS,MALE,2005,35.0,11,19.0
GB-WLS,FEMALE,2005,21.0,11,21.0
ARM,MALE,2009,27.4,13,15.4613466334165
ARM,FEMALE,2009,16.7,13,9.21052631578947
AUT,MALE,2009,33.7,13,17.2056921086675
AUT,FEMALE,2009,16.9,13,11.4856429463171
AUT,MALE,2005,27.0,13,14.0
AUT,FEMALE,2005,14.0,13,7.0
BE-VLG,MALE,2009,18.3,13,10.0649350649351
BE-VLG,FEMALE,2009,11.1,13,11.3233287858117
BE-VLG,MALE,2005,21.0,13,10.0
BE-VLG,FEMALE,2005,10.0,13,10.0
BE-WAL,MALE,2009,19.9,13,14.3434343434343
BE-WAL,FEMALE,2009,11.6,13,8.04347826086956
BE-WAL,MALE,2005,27.0,13,14.0
BE-WAL,FEMALE,2005,20.0,13,10.0
BGR,MALE,2005,32.0,13,18.0
BGR,FEMALE,2005,19.0,13,7.0
HRV,MALE,2009,30.9,13,21.9288174512055
HRV,FEMALE,2009,14.8,13,11.7053481331988
HRV,MALE,2005,31.0,13,17.0
HRV,FEMALE,2005,15.0,13,10.0
CZE,MALE,2009,29.5,13,19.5685670261941
CZE,FEMALE,2009,19.0,13,7.04041720990874
CZE,MALE,2005,28.0,13,16.0
CZE,FEMALE,2005,17.0,13,12.0
DNK,MALE,2009,12.1,13,9.94152046783626
DNK,FEMALE,2009,9.8,13,7.84982935153584
DNK,MALE,2005,23.0,13,9.0
DNK,FEMALE,2005,18.0,13,7.0
EST,MALE,2009,17.4,13,17.7935943060498
EST,FEMALE,2009,10.8,13,12.8644939965695
EST,MALE,2005,22.0,13,14.0
EST,FEMALE,2005,13.0,13,7.0
FIN,MALE,2009,32.2,13,18.5410334346505
FIN,FEMALE,2009,17.3,13,14.1739980449658
FIN,MALE,2005,24.0,13,17.0
FIN,FEMALE,2005,15.0,13,11.0
FRA,MALE,2009,17.4,13,12.3940677966102
FRA,FEMALE,2009,6.8,13,9.37866354044549
FRA,MALE,2005,20.0,13,12.0
FRA,FEMALE,2005,5.0,13,8.0
DEU,MALE,2009,20.6,13,15.4074074074074
DEU,FEMALE,2009,14.1,13,13.2132132132132
DEU,MALE,2005,19.0,13,14.0
DEU,FEMALE,2005,13.0,13,8.0
GRC,MALE,2009,21.1,13,24.9666221628838
GRC,FEMALE,2009,7.5,13,15.1930261519303
GRC,MALE,2005,21.0,13,27.0
GRC,FEMALE,2005,12.0,13,13.0
GRL,MALE,2009,30.7,13,9.4017094017094
GRL,FEMALE,2009,20.2,13,18.8524590163934
HUN,MALE,2009,25.4,13,19.0265486725664
HUN,FEMALE,2009,10.7,13,9.56873315363881
HUN,MALE,2005,29.0,13,20.0
HUN,FEMALE,2005,13.0,13,11.0
ISL,MALE,2009,19.5,13,16.3177339901478
ISL,FEMALE,2009,11.4,13,11.9293974437005
IRL,MALE,2009,35.7,13,12.7147766323024
IRL,FEMALE,2009,20.0,13,8.5
IRL,MALE,2005,39.0,13,13.0
IRL,FEMALE,2005,23.0,13,14.0
ITA,MALE,2009,10.3,13,20.2334630350195
ITA,FEMALE,2009,4.8,13,13.8069705093834
ITA,MALE,2005,23.0,13,25.0
ITA,FEMALE,2005,9.0,13,11.0
LVA,MALE,2009,24.7,13,13.8041733547352
LVA,FEMALE,2009,17.8,13,9.20060331825038
LVA,MALE,2005,27.0,13,12.0
LVA,FEMALE,2005,17.0,13,5.0
LTU,MALE,2009,18.4,13,12.5786163522013
LTU,FEMALE,2009,12.1,13,7.72946859903382
LTU,MALE,2005,22.0,13,9.0
LTU,FEMALE,2005,13.0,13,4.0
LUX,MALE,2009,32.2,13,17.0629370629371
LUX,FEMALE,2009,16.3,13,11.4597544338336
LUX,MALE,2005,19.0,13,15.0
LUX,FEMALE,2005,11.0,13,10.0
MKD,MALE,2009,27.6,13,18.7845303867403
MKD,FEMALE,2009,15.4,13,10.8892921960073
MKD,MALE,2005,30.0,13,17.0
MKD,FEMALE,2005,18.0,13,10.0
MLT,MALE,2005,20.0,13,31.0
MLT,FEMALE,2005,14.0,13,31.0
NLD,MALE,2009,23.6,13,9.4677355675569
NLD,FEMALE,2009,14.8,13,7.81153464642489
NLD,MALE,2005,24.0,13,8.0
NLD,FEMALE,2005,20.0,13,8.0
NOR,MALE,2009,18.3,13,12.810707456979
NOR,FEMALE,2009,6.2,13,8.59232175502742
NOR,MALE,2005,15.0,13,10.0
NOR,FEMALE,2005,14.0,13,9.0
POL,MALE,2009,21.6,13,21.0606060606061
POL,FEMALE,2009,13.7,13,12.7808988764045
POL,MALE,2005,21.0,13,14.0
POL,FEMALE,2005,12.0,13,8.0
PRT,MALE,2009,19.4,13,22.2222222222222
PRT,FEMALE,2009,7.3,13,12.6984126984127
PRT,MALE,2005,21.0,13,18.0
PRT,FEMALE,2005,8.0,13,13.0
ROU,MALE,2009,28.3,13,14.965034965035
ROU,FEMALE,2009,13.4,13,9.91535671100363
ROU,MALE,2005,24.0,13,15.0
ROU,FEMALE,2005,11.0,13,8.0
RUS,MALE,2009,18.0,13,13.9329805996473
RUS,FEMALE,2009,9.1,13,5.95903165735568
RUS,MALE,2005,18.0,13,11.0
RUS,FEMALE,2005,10.0,13,7.0
SVK,MALE,2009,29.5,13,19.9757869249395
SVK,FEMALE,2009,15.2,13,7.76053215077605
SVK,MALE,2005,51.0,13,11.0
SVK,FEMALE,2005,35.0,13,6.0
SVN,MALE,2009,24.9,13,20.2474690663667
SVN,FEMALE,2009,14.9,13,12.7118644067797
SVN,MALE,2005,22.0,13,20.0
SVN,FEMALE,2005,10.0,13,10.0
ESP,MALE,2009,27.4,13,20.7070707070707
ESP,FEMALE,2009,15.4,13,12.5592417061611
ESP,MALE,2005,21.0,13,19.0
ESP,FEMALE,2005,14.0,13,12.0
SWE,MALE,2009,14.3,13,13.4391534391534
SWE,FEMALE,2009,10.6,13,8.75621890547264
SWE,MALE,2005,21.0,13,13.0
SWE,FEMALE,2005,14.0,13,9.0
CHE,MALE,2009,15.7,13,11.8701964133219
CHE,FEMALE,2009,8.4,13,6.38297872340426
CHE,MALE,2005,16.0,13,12.0
CHE,FEMALE,2005,10.0,13,5.0
